Sr. No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation,Topic,Difficulty Level
1,"What is 25% of 200?","25","50","75","100","B","25% of 200 = 0.25 × 200 = 50","Quantitative Aptitude","Easy"
2,"If x + 7 = 15, what is x?","5","7","8","9","C","x = 15 - 7 = 8","Quantitative Aptitude","Easy"
3,"A shirt costs ₹1200 after 20% discount. What was original price?","₹1400","₹1500","₹1600","₹1800","B","Original price = 1200 / 0.8 = ₹1500","Quantitative Aptitude","Medium"
4,"What is average of 12, 15, 18, 21?","15","16.5","18","19.5","B","(12+15+18+21)/4 = 16.5","Quantitative Aptitude","Easy"
5,"If 3 workers complete job in 8 days, how many days for 6 workers?","2","4","6","8","B","More workers ⇒ less time (inverse proportion)","Quantitative Aptitude","Medium"
6,"Complete series: 2, 5, 10, 17, __","24","26","28","30","B","Pattern: +3, +5, +7, +9 (17+9=26)","Logical Reasoning","Easy"
7,"Find odd one: Dog, Cat, Lion, Car","Dog","Cat","Lion","Car","D","Car is not an animal","Logical Reasoning","Easy"
8,"If all As are Bs and some Bs are Cs, then:","All As are Cs","Some As are Cs","No As are Cs","Cannot be determined","D","Insufficient information for conclusion","Logical Reasoning","Medium"
9,"Complete analogy: Book : Pages :: Tree : ?","Leaves","Roots","Branches","Fruits","A","Pages are parts of book as leaves are parts of tree","Logical Reasoning","Medium"
10,"Find next: Right, Left, Right, Right, Left, __","Left","Right","Up","Down","A","Pattern: R, L, R, R, L, L","Logical Reasoning","Hard"
11,"Pie chart shows: A=30%, B=20%, C=50%. If total=200, value of B?","20","40","50","100","B","20% of 200 = 40","Data Interpretation","Easy"
12,"Table shows sales: Jan=100, Feb=150, Mar=200. What is % increase Feb-Mar?","25%","33.33%","50%","75%","B","(200-150)/150 × 100 = 33.33%","Data Interpretation","Medium"
13,"Bar graph shows 2019=500, 2020=600, 2021=450. What is average?","500","516.67","550","583.33","B","(500+600+450)/3 ≈ 516.67","Data Interpretation","Easy"
14,"If 40% of data is below 50 in histogram, 50 is:","Mean","Median","Mode","40th percentile","B","Median divides data into two equal halves","Data Interpretation","Hard"
15,"Line graph shows profit increasing. What is trend?","Linear","Exponential","Fluctuating","Stable","A","Straight line indicates linear trend","Data Interpretation","Medium"
16,"Choose correct spelling:","Accomodate","Acommodate","Accommodate","Acomodate","C","Double 'm' and double 'd'","Verbal Ability","Easy"
17,"Antonym of 'BENIGN'","Kind","Malignant","Gentle","Friendly","B","Benign means harmless, malignant means harmful","Verbal Ability","Medium"
18,"Correct sentence:","She go to school","She goes to school","She going to school","She gone to school","B","Present tense singular subject requires 'goes'","Verbal Ability","Easy"
19,"Meaning of 'EPHEMERAL'","Permanent","Long-lasting","Fleeting","Strong","C","Ephemeral means lasting short time","Verbal Ability","Medium"
20,"Fill blank: __ apple a day keeps doctor away.","A","An","The","None","B","'Apple' starts with vowel sound","Verbal Ability","Easy"
21,"If 3 cats catch 3 mice in 3 minutes, how many cats for 100 mice in 100 minutes?","1","3","100","300","B","Same 3 cats (1 cat per mouse in 3 minutes)","Puzzles & Brain Teasers","Medium"
22,"What is next in: O, T, T, F, F, S, S, __","E","N","T","O","A","Sequence: One, Two, Three, Four, Five, Six, Seven, Eight","Puzzles & Brain Teasers","Hard"
23,"A bat and ball cost ₹1100. Bat costs ₹1000 more than ball. Ball costs?","50","100","150","200","A","Let ball = x, bat = x+1000 ⇒ x + (x+1000) = 1100 ⇒ x=50","Puzzles & Brain Teasers","Hard"
