SR. NO,QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,CORRECT ANSWER,TOPIC,JUSTIFICATION
1,"What is the time complexity of accessing an element in an array by index?",O(1),O(n),O(log n),O(n²),O(1),Arrays,"Arrays provide direct access via memory addresses."
2,"Which data structure follows the Last-In-First-Out (LIFO) principle?",Queue,Stack,Linked List,Tree,Stack,Stack,"Stack operations (push/pop) work on the top element only."
3,"What is the best-case time complexity of linear search?",O(1),O(n),O(log n),O(n²),O(1),Searching,"Best case occurs when the target is the first element."
4,"Which of these is a linear data structure?",Binary Tree,Graph,Array,Hash Table,Array,Data Structures,"Arrays store elements in contiguous memory locations."
5,"What is the time complexity of inserting at the end of a dynamic array?",O(1),O(n),O(log n),O(n²),O(1),Arrays,"Amortized O(1) when considering occasional resizing."
6,"Which sorting algorithm has O(n²) worst-case complexity?",Merge Sort,Quick Sort,Bubble Sort,Heap Sort,Bubble Sort,Sorting,"Bubble Sort compares adjacent elements repeatedly."
7,"What is the space complexity of iterative binary search?",O(1),O(n),O(log n),O(n²),O(1),Searching,"Uses constant extra space for pointers."
8,"Which data structure uses First-In-First-Out (FIFO) principle?",Stack,Queue,Tree,Graph,Queue,Queue,"Queue operations (enqueue/dequeue) follow FIFO."
9,"What is the output of 5 >> 1 (right shift)?",2,3,5,10,2,Bit Manipulation,"5 in binary is 101; right shift by 1 gives 10 (2)."
10,"Which of these is NOT a sorting algorithm?",BFS,Quick Sort,Merge Sort,Insertion Sort,BFS,Sorting,"BFS is a graph traversal algorithm."
11,"What is the time complexity of deleting from the front of a linked list?",O(1),O(n),O(log n),O(n²),O(1),Linked Lists,"Only requires updating the head pointer."
12,"Which data structure is typically used for recursion?",Queue,Stack,Heap,Tree,Stack,Stack,"Function calls use the call stack (LIFO)."
13,"What is the time complexity of searching in a hash table?",O(1),O(n),O(log n),O(n²),O(1),Hash Tables,"Assuming good hash function and load factor."
14,"Which operation is O(1) in a doubly linked list?",Insert at head,Insert at tail,Delete middle node,Search by value,Insert at head,Linked Lists,"Only requires updating a few pointers."
15,"What is the worst-case time complexity of selection sort?",O(n),O(n log n),O(n²),O(n³),O(n²),Sorting,"Always performs O(n²) comparisons."
16,"Which data structure uses parent-child relationships?",Array,Stack,Tree,Queue,Tree,Trees,"Trees have hierarchical relationships."
17,"What is the time complexity of push operation in a stack?",O(1),O(n),O(log n),O(n²),O(1),Stack,"Only modifies the top pointer."
18,"Which algorithm uses divide-and-conquer approach?",Bubble Sort,Insertion Sort,Merge Sort,Selection Sort,Merge Sort,Sorting,"Divides array into halves recursively."
19,"What is the space complexity of a queue implemented with array?",O(1),O(n),O(log n),O(n²),O(n),Queue,"Requires space proportional to capacity."
20,"Which operation is O(n) in an unsorted array?",Access by index,Search by value,Update by index,Insert at end,Search by value,Arrays,"May need to check every element."
21,"What is the time complexity of string concatenation in Python?",O(1),O(n),O(n²),O(log n),O(n),Strings,"Creates new string by copying both strings."
22,"Which data structure is best for checking balanced parentheses?",Queue,Stack,Heap,Tree,Stack,Stack,"LIFO property matches nesting behavior."
23,"What is the time complexity of enqueue in a queue?",O(1),O(n),O(log n),O(n²),O(1),Queue,"Only modifies the rear pointer."
24,"Which sorting algorithm is stable?",Heap Sort,Selection Sort,Merge Sort,Quick Sort,Merge Sort,Sorting,"Preserves order of equal elements."
25,"What is the time complexity of pop() in a stack?",O(1),O(n),O(log n),O(n²),O(1),Stack,"Only modifies the top pointer."
26,"Which data structure uses key-value pairs?",Array,Stack,Hash Table,Queue,Hash Table,Hash Tables,"Maps keys to values for fast lookup."
27,"What is the worst-case time complexity of linear search?",O(1),O(n),O(log n),O(n²),O(n),Searching,"May need to check every element."
28,"Which operation is O(1) in a circular queue?",Enqueue,Dequeue,Search,Access middle,Enqueue,Queue,"Constant time with modulo arithmetic."
29,"What is the space complexity of a stack implemented with linked list?",O(1),O(n),O(log n),O(n²),O(n),Stack,"Requires space for each node."
30,"Which data structure is used for undo functionality?",Queue,Stack,Tree,Graph,Stack,Stack,"LIFO matches undo's last-action-first behavior."
31,"What is the time complexity of inserting at head in linked list?",O(1),O(n),O(log n),O(n²),O(1),Linked Lists,"Only requires updating the head pointer."
32,"Which sorting algorithm has O(n) best-case time complexity?",Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Insertion Sort,Sorting,"When array is already sorted."
33,"What is the time complexity of deleting from a hash table?",O(1),O(n),O(log n),O(n²),O(1),Hash Tables,"Assuming good hash function and load factor."
1,"What is the worst-case time complexity of searching in a BST?",O(1),O(log n),O(n),O(n log n),O(n),Trees,"Occurs when the BST is skewed (degenerates to linked list)."
2,"Which traversal gives sorted order in a BST?",Preorder,Inorder,Postorder,Level order,Inorder,Trees,"Inorder traversal of BST yields ascending order."
3,"What is the time complexity of Heapify?",O(1),O(log n),O(n),O(n log n),O(n),Heaps,"Building a heap from an array takes linear time."
4,"Which algorithm uses a priority queue?",BFS,DFS,Dijkstra's,Bubble Sort,Dijkstra's,Graphs,"Dijkstra's uses a priority queue (min-heap) for greedy shortest path."
5,"What is the space complexity of recursive DFS on a graph?",O(1),O(log n),O(n),O(V + E),O(V),Graphs,"Recursion stack can go up to O(V) in worst case."
6,"Which problem can be solved with Union-Find?",Knapsack,Minimum Spanning Tree,N-Queens,Fibonacci,MST,Graphs,"Kruskal's MST algorithm uses Union-Find for cycle detection."
7,"What is the time complexity of BFS on a graph?",O(V),O(V + E),O(V log V),O(V²),O(V + E),Graphs,"Visits all vertices and edges once."
8,"Which data structure is optimal for Prim's MST?",Array,Stack,Priority Queue,Hash Table,Priority Queue,Graphs,"Prim's requires efficient extraction of minimum edge."
9,"What is the height of a balanced BST with n nodes?",O(1),O(log n),O(n),O(n log n),O(log n),Trees,"Balanced BSTs have logarithmic height."
